smiles,gas,dsrate,loss,td
O=C1C2C3C=CC(C3)C2C(=O)N1c1ccc(Oc2ccc(N3C(=O)C4C5C=CC(C5)C4C3=O)cc2)cc1,N2,10,0,232
C=C1CC(=O)N(c2ccc(Oc3ccc(Oc4ccc(N5C(=O)CC(=C)C5=O)cc4)cc3)cc2)C1=O,N2,10,0,245
O=C1C2C3C=CC(C3)C2C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5C6C=CC(C6)C5C4=O)cc3)cc2)cc1,N2,10,0,282
O=C(c1ccc(Oc2ccc(C(c3ccc(O)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1)c1ccc(Oc2ccc(C(c3ccc(O)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,air,5,5,476
O=C(c1ccc(Oc2ccc(C(c3ccc(O)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1)c1ccc(Oc2ccc(C(c3ccc(O)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,N2,5,5,493
C=C1CC(=O)N(c2ccc(Oc3cccc(Oc4ccc(N5C(=O)CC(=C)C5=O)cc4)c3)cc2)C1=O,N2,10,0,286
O=C1C2C3C=CC(C3)C2C(=O)N1c1ccc(Oc2cccc(Oc3ccc(N4C(=O)C5C6C=CC(C6)C5C4=O)cc3)c2)cc1,N2,10,0,300
C=C1CC(=O)N(c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(N6C(=O)CC(=C)C6=O)cc5)cc4)cc3)cc2)C1=O,N2,10,0,464
C#CCOc1ccc(C(=O)c2ccc(OCC#C)cc2)cc1,N2,10,0,370
C#CCOc1ccc(C(=O)c2ccc(OCC#C)cc2)cc1,Ar,10,5,369.8
C#CCOc1ccc(C(=O)c2ccc(OCC#C)cc2)cc1,Ar,10,10,402.1
CC(C)(c1ccc(Oc2ccc(N3C(=O)C4C5C=CC(C5)C4C3=O)cc2)cc1)c1ccc(Oc2ccc(N3C(=O)C4C5C=CC(C5)C4C3=O)cc2)cc1,N2,10,0,300
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(\c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3cc(OC)cc(OC)c3)c3cc(OC)cc(OC)c3)cc2)c2ccccc2)cc1,N2,10,5,283
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(\c3ccc(Cl)cc3)c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3ccc(Cl)cc3)cc2)c2ccccc2)cc1,N2,10,5,347
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(/c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3ccsc3)c3ccsc3)cc2)c2ccccc2)cc1,N2,10,5,347
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(/c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3ccc4ccccc4c3)c3ccc4ccccc4c3)cc2)c2ccccc2)cc1,N2,10,5,354
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(/c3ccc(C(=O)OCC)cc3)c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3ccc(C(=O)OCC)cc3)cc2)c2ccccc2)cc1,N2,10,5,306
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(/c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3ccc(C(F)(F)F)cc3)c3ccc(C(F)(F)F)cc3)cc2)c2ccccc2)cc1,N2,10,5,298
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(/c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3ccc(F)cc3F)c3ccc(F)cc3F)cc2)c2ccccc2)cc1,N2,10,5,338
C#CCOc1ccc(S(=O)(=O)c2ccc(OCC#C)cc2)cc1,N2,10,0,350
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(\c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3cc(OC)cc(OC)c3)c3cc(OC)cc(OC)c3)cc2)c2ccccc2)cc1,N2,10,5,315
C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=Cc3ccc(/C=C(\c4ccc(C(=C(c5ccccc5)c5ccc(C#C)cc5)c5ccccc5)cc4)c4cc(OC)cc(OC)c4)cc3)c3cc(OC)cc(OC)c3)cc2)c2ccccc2)cc1,N2,10,5,364
